Label,Paper Name,Authors,Year,Journals/Conferences,Application Scenario,Category,Key Technologies (Abbr.),Key Technologies (Full Name)
[3],A Learning-Based Power Management Method for Networked Microgrids Under Incomplete Information,"Zhang, Q. Z., Dehghanpour, K., Wang, Z. Y. and Huang, Q. H.",2020,IEEE Transactions on Smart Grid,Electricity Markets,Surrogate Model,BiRL,Bi-level Reinforcement Learning
[16],An Artificial Neural Network based Approach to Electric Demand Response Implementation,"M. Kamruzzaman, M. Benidris, and S. Commuri",2018,2018 North American Power Symposium,Optimal Dispatch,Boundary Parameters,ANN,Artificial Neural Network
[17],Artificial Neural Network Based Controller for Home Energy Management Considering Demand Response Events,"Ahmed, M. S. and Mohamed, A. and Shareef, H. and Homod, R. Z. and Abd Ali, J.",2016,"2016 International Conference on Advances in Electrical, Electronic and Systems Engineering",Optimal Dispatch,Optimization Option Selection,ANN,Artificial Neural Network
[18],Demand Response for Home Energy Management using Reinforcement Learning and Artificial Neural Network,"R. Lu, S. H. Hong, M. Yu",2019,IEEE Transactions on Smart Grid,Optimal Dispatch,Surrogate Model,DRL,Deep Reinforcement Learning
[19],Neural-network-based Lagrange Multiplier Selection for Distributed Demand Response in Smart Grid,"G. C. Ruan, H. W. Zhong and J. X. Wang",2020,Applied Energy,Optimal Dispatch,Hybrid Model,FCNN,Fully Connected Neural Network
[21],Model-Free Renewable Scenario Generation Using Generative Adversarial Networks,"Daniel Kirschen, Baosen Zhang",2018,IEEE Transactions of Power Sysytems,Scenario Generation,Boundary Parameters,GAN,Generative Adversarial Network
[22],Day-ahead scenario generation of renewable energy based on conditional gan,"X. Dong, Y. Sun, and T. Pu",2020,Proceedings of the CSEE,Scenario Generation,Boundary Parameters,Conditional GAN,Conditional Generative Adversarial Network
[23],A deep learning approach for fault type identification of transmission lines,"S. Xu, C. Qiu, D. Zhang, X. He, L. Chu, and H. Yang",2019,Proceedings of the CSEE,Identification,Boundary Parameters,"DAE, DNN, CNN","Deep Auto-Encoder, Deep Neural Network, Convolutional Neural Network"
[24],A machine learning based stochastic optimization framework for a wind and storage power plant participating in energy pool market,"J. L. Crespo-Vazquez, C. Carrillo, E. Diaz-Dorado, J. A. Martinez-Lorenzo, and M. Noor-E-Alam",2018,Applied Energy,Optimal Dispatch,Boundary Parameters,"Clustering, LSTM-RNN","Clustering, Long Short Term Memory-Recurrent Neural Network"
[25],Data-driven planning of distributed energy resources amidst socio-technical complexities,"R. K. Jain, J. J. Qin, and R. Rajagopal",2017,Nature Energy,Planning,Boundary Parameters,/,/
[26],Joint Chance Constraints in AC Optimal Power Flow: Improving Bounds Through Learning,"Baker, K. and Bernstein, A.",2019,IEEE Transactions on Smart Grid,Power Flow Calculation,Boundary Parameters,SVM,Support Vector Machine
[27],A Class-Driven Approach Based on Long Short-Term Memory Networks for Electricity Price Scenario Generation and Reduction," B. Stappers, N. G. Paterakis, K. Kok, and M. Gibescu",2020,IEEE Transactions of Power Sysytems,Scenario Generation,Boundary Parameters,LSTM-RNN,Long Short Term Memory Recurrent Neural Network
